block_id,slice_id,filename,tree_pos,slice_number
B3,112360829,slice_357.png,356,1608
B3,112360824,slice_358.png,357,1612
B3,112360820,slice_359.png,358,1616
B3,112360812,slice_360.png,359,1624
B3,112360808,slice_361.png,360,1628
B3,112360804,slice_362.png,361,1632
B3,112360800,slice_363.png,362,1636
B3,112360796,slice_364.png,363,1640
B3,112360792,slice_365.png,364,1644
B3,112360788,slice_366.png,365,1648
B3,112360784,slice_367.png,366,1652
B3,112360771,slice_368.png,367,1664
B3,112360779,slice_369.png,368,1656
B3,112360775,slice_370.png,369,1660
B3,112360767,slice_371.png,370,1668
B3,112360763,slice_372.png,371,1672
B3,112360759,slice_373.png,372,1676
B3,112360755,slice_374.png,373,1680
B3,112360751,slice_375.png,374,1684
B3,112360747,slice_376.png,375,1688
B3,112360743,slice_377.png,376,1692
B3,112360739,slice_378.png,377,1696
B3,112360735,slice_379.png,378,1700
B3,112360731,slice_380.png,379,1704
B3,112360727,slice_381.png,380,1708
B3,112360723,slice_382.png,381,1712
B3,112360719,slice_383.png,382,1716
B3,112360715,slice_384.png,383,1720
B3,112360711,slice_385.png,384,1724
B3,112360707,slice_386.png,385,1728
B3,112360703,slice_387.png,386,1732
B3,112360699,slice_388.png,387,1736
B3,112360695,slice_389.png,388,1740
B3,112360691,slice_390.png,389,1744
B3,112360687,slice_391.png,390,1748
B3,112360683,slice_392.png,391,1752
B3,112360679,slice_393.png,392,1756
B3,112360675,slice_394.png,393,1760
B4,112363282,slice_395.png,394,1811
B4,112363278,slice_396.png,395,1815
B4,112363274,slice_397.png,396,1819
B4,112363270,slice_398.png,397,1823
B4,112363266,slice_399.png,398,1827
B4,112363262,slice_400.png,399,1831
B4,112363258,slice_401.png,400,1835
B4,112363250,slice_402.png,401,1843
B4,112363254,slice_403.png,402,1839
B4,112363246,slice_404.png,403,1847
B4,112363242,slice_405.png,404,1851
B4,112363238,slice_406.png,405,1855
B4,112363234,slice_407.png,406,1859
B4,112363230,slice_408.png,407,1863
B4,112363226,slice_409.png,408,1867
B4,112363222,slice_410.png,409,1871
B4,112363218,slice_411.png,410,1875
B4,112363214,slice_412.png,411,1879
B4,112363210,slice_413.png,412,1883
B4,112363206,slice_414.png,413,1887
B4,112363202,slice_415.png,414,1891
B4,112363198,slice_416.png,415,1895
B4,112363194,slice_417.png,416,1899
B4,112363190,slice_418.png,417,1903
B4,112363186,slice_419.png,418,1907
B4,112363182,slice_420.png,419,1911
B4,112363178,slice_421.png,420,1915
B4,112363174,slice_422.png,421,1919
B4,112363170,slice_423.png,422,1923
B4,112363166,slice_424.png,423,1927
B4,112363162,slice_425.png,424,1931
B4,112363158,slice_426.png,425,1935
B4,112363154,slice_427.png,426,1939
B4,112363150,slice_428.png,427,1943
B4,112363146,slice_429.png,428,1947
B4,112363142,slice_430.png,429,1951
B4,112363138,slice_431.png,430,1955
B4,112363134,slice_432.png,431,1959
B4,112363130,slice_433.png,432,1963
B4,112363126,slice_434.png,433,1967
B4,112363122,slice_435.png,434,1971
B4,112363118,slice_436.png,435,1975
B4,112363114,slice_437.png,436,1979
B4,112363110,slice_438.png,437,1983
B4,112363106,slice_439.png,438,1987
B4,112363102,slice_440.png,439,1991
B4,112363098,slice_441.png,440,1995
B4,112363090,slice_442.png,441,2003
B4,112363094,slice_443.png,442,1999
B4,112363084,slice_444.png,443,2007
B4,112363080,slice_445.png,444,2011
B4,112363044,slice_446.png,445,2047
B4,112363072,slice_447.png,446,2019
B4,112363068,slice_448.png,447,2023
B4,112363076,slice_449.png,448,2015
B4,112363056,slice_450.png,449,2035
B4,112363060,slice_451.png,450,2031
B4,112363064,slice_452.png,451,2027
B4,112363052,slice_453.png,452,2039
B4,112363048,slice_454.png,453,2043
B4,112363040,slice_455.png,454,2051
B4,112363036,slice_456.png,455,2055
B4,112363032,slice_457.png,456,2059
B4,112363028,slice_458.png,457,2063
B4,112363024,slice_459.png,458,2067
B4,112363020,slice_460.png,459,2071
B4,112363016,slice_461.png,460,2075
B4,112363012,slice_462.png,461,2079
B4,112363008,slice_463.png,462,2083
B4,112363004,slice_464.png,463,2087
B4,112362999,slice_465.png,464,2091
B4,112362995,slice_466.png,465,2095
B4,112362991,slice_467.png,466,2099
B4,112362987,slice_468.png,467,2103
B4,112362983,slice_469.png,468,2107
B4,112362979,slice_470.png,469,2111
B4,112362975,slice_471.png,470,2115
B4,112362971,slice_472.png,471,2119
B5,112364448,slice_473.png,472,2162
B5,112364444,slice_474.png,473,2166
B5,112364440,slice_475.png,474,2170
B5,112364436,slice_476.png,475,2174
B5,112364432,slice_477.png,476,2178
B5,112364428,slice_478.png,477,2182
B5,112364424,slice_479.png,478,2186
B5,112364420,slice_480.png,479,2190
B5,112364416,slice_481.png,480,2194
B5,112364412,slice_482.png,481,2198
B5,112364408,slice_483.png,482,2202
B5,112364404,slice_484.png,483,2206
B5,112364400,slice_485.png,484,2210
B5,112364396,slice_486.png,485,2214
B5,112364392,slice_487.png,486,2218
B5,112364388,slice_488.png,487,2222
B5,112364384,slice_489.png,488,2226
B5,112364380,slice_490.png,489,2230
B5,112364376,slice_491.png,490,2234
B5,112364372,slice_492.png,491,2238
B5,112364368,slice_493.png,492,2242
B5,112364364,slice_494.png,493,2246
B5,112364359,slice_495.png,494,2250
B5,112364355,slice_496.png,495,2254
B5,112364351,slice_497.png,496,2258
B5,112364347,slice_498.png,497,2262
B5,112364343,slice_499.png,498,2266
B5,112364339,slice_500.png,499,2270
B5,112364335,slice_501.png,500,2274
B5,112364331,slice_502.png,501,2278
B5,112364327,slice_503.png,502,2282
B5,112364323,slice_504.png,503,2286
B5,112364319,slice_505.png,504,2290
B5,112364315,slice_506.png,505,2294
B5,112364311,slice_507.png,506,2298
B5,112364307,slice_508.png,507,2302
B5,112364303,slice_509.png,508,2306
B5,112364299,slice_510.png,509,2310
B5,112364295,slice_511.png,510,2314
B5,112364291,slice_512.png,511,2318
B5,112364287,slice_513.png,512,2322
B5,112364283,slice_514.png,513,2326
B5,112364279,slice_515.png,514,2330
B5,112364275,slice_516.png,515,2334
B5,112364271,slice_517.png,516,2338
B5,112364267,slice_518.png,517,2342
B5,112364263,slice_519.png,518,2346
B5,112364259,slice_520.png,519,2350
B5,112364255,slice_521.png,520,2354
B5,112364251,slice_522.png,521,2358
B5,112364247,slice_523.png,522,2362
B5,112364243,slice_524.png,523,2366
B5,112364239,slice_525.png,524,2370
